EmployeeID,Age,Department,JobLevel,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,PromotionLast5Years,PerformanceRating,TrainingHoursLastYear,Attrition,SalaryBand,ExperienceLevel
EMP0072,37,Finance,3,12,12464,4,3,Yes,5.3,No,3,14,No,High,6+ Years
EMP0073,53,IT,2,9,9312,4,3,No,32.6,No,3,10,No,Medium,6+ Years
EMP0074,22,Engineering,1,0,6180,3,2,No,4.9,No,2,17,No,Medium,0-2 Years
EMP0075,46,IT,4,21,16196,2,2,Yes,4.1,No,3,11,No,High,6+ Years
EMP0076,38,HR,4,16,11158,3,3,No,14.5,No,3,12,No,High,6+ Years
EMP0077,35,HR,4,10,9833,3,3,Yes,10.2,No,2,11,No,Medium,6+ Years
EMP0078,38,Marketing,4,16,13068,4,3,No,4.3,No,4,15,No,High,6+ Years
EMP0079,22,Engineering,1,0,5477,2,3,Yes,17,No,3,14,No,Medium,0-2 Years
EMP0080,35,Engineering,3,11,11693,3,4,No,4,No,3,23,Yes,High,6+ Years
EMP0081,41,Marketing,2,14,9015,2,3,No,6.2,No,3,15,No,Medium,6+ Years
EMP0082,52,IT,5,25,19938,3,1,No,13.3,No,3,26,No,High,6+ Years
EMP0083,32,Marketing,2,8,8323,5,1,Yes,12.7,No,2,8,No,Medium,6+ Years
EMP0084,29,Engineering,2,4,8856,3,2,Yes,6.4,No,3,10,No,Medium,3-5 Years
EMP0085,32,Sales,3,8,9486,1,4,Yes,21.1,No,3,6,No,Medium,6+ Years
EMP0086,47,IT,2,4,8307,4,3,No,1,No,2,25,No,Medium,3-5 Years
EMP0087,41,HR,1,3,3619,4,3,No,5.9,No,3,20,No,Low,3-5 Years
EMP0088,32,IT,2,8,8975,3,2,No,11.5,No,3,26,No,Medium,6+ Years
EMP0089,43,Marketing,2,2,6734,3,3,No,5.5,No,3,12,No,Medium,0-2 Years
EMP0090,38,Marketing,2,2,6375,5,3,No,5.5,No,3,12,No,Medium,0-2 Years
EMP0091,47,Finance,3,25,13374,5,2,No,3.9,No,3,21,No,High,6+ Years
EMP0092,30,Engineering,1,1,6394,4,3,No,2,No,2,15,No,Medium,0-2 Years
EMP0093,34,Finance,1,0,5697,3,2,No,20.2,No,2,14,No,Medium,0-2 Years
EMP0094,34,HR,4,11,10585,2,2,No,7.9,No,3,12,No,High,6+ Years
EMP0095,23,Finance,1,1,6484,3,1,No,19.2,No,2,18,No,Medium,0-2 Years
EMP0096,40,Operations,1,1,4073,3,4,No,12.1,No,3,13,No,Low,0-2 Years
EMP0097,40,Sales,3,10,9816,2,2,No,9.8,No,2,16,No,Medium,6+ Years
EMP0098,38,Marketing,1,2,5105,4,3,No,49.9,No,2,11,No,Medium,0-2 Years
EMP0099,35,Sales,3,6,9710,5,2,No,8.8,No,3,13,No,Medium,6+ Years
EMP0100,23,Sales,1,1,4245,5,3,No,7.2,No,2,16,No,Low,0-2 Years
EMP0101,33,Finance,3,6,11171,4,1,Yes,6.2,Yes,3,13,No,High,6+ Years
EMP0102,34,Sales,1,1,4774,4,4,No,13.3,No,2,23,No,Low,0-2 Years
EMP0103,29,Marketing,1,0,5609,3,3,Yes,6.9,No,2,11,No,Medium,0-2 Years
EMP0104,36,Sales,2,2,6604,5,4,Yes,26,No,2,11,No,Medium,0-2 Years
EMP0105,42,Engineering,1,1,6031,3,3,No,10.4,No,3,10,No,Medium,0-2 Years
EMP0106,56,Sales,1,1,4471,1,2,No,16.3,No,2,21,No,Low,0-2 Years
EMP0107,39,Sales,4,14,11923,4,3,No,3.5,Yes,3,9,No,High,6+ Years
EMP0108,40,Operations,2,2,5247,3,2,Yes,2.8,No,2,13,No,Medium,0-2 Years
EMP0109,37,Marketing,2,4,7339,3,4,No,8.9,No,3,18,No,Medium,3-5 Years
EMP0110,22,IT,1,0,5508,3,2,Yes,4.6,No,3,20,No,Medium,0-2 Years
EMP0111,37,Sales,3,10,9029,3,2,Yes,14.6,No,3,18,No,Medium,6+ Years
EMP0112,38,Operations,3,6,8179,2,3,No,7.9,No,3,15,No,Medium,6+ Years
EMP0113,60,Finance,2,5,8001,1,2,No,4.1,No,2,14,No,Medium,3-5 Years
EMP0114,36,Engineering,3,13,12493,3,2,No,4.5,No,2,17,No,High,6+ Years
EMP0115,41,Finance,1,0,5812,3,3,Yes,10.5,No,4,12,No,Medium,0-2 Years
EMP0116,37,Finance,2,9,9363,3,2,No,23.6,No,3,10,No,Medium,6+ Years
EMP0117,26,HR,1,0,4789,5,2,No,14.5,No,2,13,No,Low,0-2 Years
EMP0118,49,Finance,3,16,12454,4,3,No,17.3,No,2,20,No,High,6+ Years
EMP0119,45,Engineering,3,13,11989,1,2,Yes,3.3,No,4,13,No,High,6+ Years
EMP0120,45,Engineering,3,9,11985,1,3,No,7.7,No,3,8,No,High,6+ Years
EMP0121,28,HR,2,5,6030,4,3,Yes,1.4,No,3,25,No,Medium,3-5 Years
EMP0122,52,Operations,2,7,6438,5,3,Yes,9.6,No,3,10,No,Medium,6+ Years
EMP0123,23,Engineering,1,1,6686,3,3,No,16.4,No,2,14,No,Medium,0-2 Years
EMP0124,43,Engineering,3,13,12977,3,2,Yes,7.8,No,2,8,No,High,6+ Years
EMP0125,59,Marketing,2,6,7935,3,4,No,15,No,3,7,Yes,Medium,6+ Years
EMP0126,28,Operations,2,5,5887,4,4,No,2.3,No,3,21,No,Medium,3-5 Years
EMP0127,32,Finance,2,3,8109,3,3,No,23.5,No,3,18,No,Medium,3-5 Years
EMP0128,38,Sales,1,0,5663,2,3,No,12.3,Yes,3,18,No,Medium,0-2 Years
EMP0129,32,Finance,2,8,8481,3,4,Yes,3.3,No,2,9,No,Medium,6+ Years
EMP0130,22,HR,1,0,3890,3,3,No,10.8,No,2,17,No,Low,0-2 Years
EMP0131,38,HR,3,14,9994,5,3,No,7.2,No,4,9,No,Medium,6+ Years
EMP0132,27,Marketing,1,0,4780,4,3,Yes,5,No,3,14,No,Low,0-2 Years
EMP0133,42,Finance,5,19,16920,4,1,No,1.6,No,2,17,No,High,6+ Years
EMP0134,28,Operations,1,2,4385,3,3,No,6,No,3,13,No,Low,0-2 Years
EMP0135,53,Marketing,3,22,12473,2,2,No,6.1,No,2,11,No,High,6+ Years
EMP0136,30,Marketing,2,4,7132,5,2,No,6.6,No,3,15,No,Medium,3-5 Years
EMP0137,34,Engineering,2,4,9461,3,4,No,10.1,No,2,14,Yes,Medium,3-5 Years
EMP0138,46,Sales,2,3,6552,4,3,No,19.4,No,4,13,No,Medium,3-5 Years
EMP0139,25,IT,1,0,5903,4,3,Yes,18.1,No,1,17,No,Medium,0-2 Years
EMP0140,40,HR,4,13,10541,5,2,No,5.1,No,3,15,No,High,6+ Years
EMP0141,51,Marketing,4,25,14082,2,1,Yes,3.5,No,2,19,No,High,6+ Years
EMP0142,22,Operations,1,0,3102,4,3,No,7.2,No,2,12,No,Low,0-2 Years
EMP0143,39,Sales,3,7,9264,3,3,No,3.2,No,3,5,No,Medium,6+ Years
EMP0144,40,Operations,1,1,3442,2,3,No,3.4,No,3,13,No,Low,0-2 Years
EMP0145,45,Operations,3,7,8992,4,4,No,14.6,No,4,14,No,Medium,6+ Years
EMP0146,25,Operations,1,0,4263,4,4,No,16.5,No,2,20,No,Low,0-2 Years
EMP0147,24,Sales,1,0,5512,1,4,No,4.5,No,2,13,No,Medium,0-2 Years
EMP0148,43,HR,1,3,4158,4,3,No,6.5,No,4,20,No,Low,3-5 Years
EMP0149,40,Sales,4,18,13467,2,1,No,8.7,No,2,19,No,High,6+ Years
EMP0150,40,Marketing,2,4,7454,4,4,No,12.3,No,3,14,No,Medium,3-5 Years
EMP0151,41,Finance,2,4,8764,4,4,No,4.1,No,3,13,No,Medium,3-5 Years
EMP0152,31,Sales,2,4,7172,4,3,No,5.8,No,3,19,No,Medium,3-5 Years
EMP0153,40,Finance,3,18,11682,2,2,Yes,5,No,2,17,No,High,6+ Years
EMP0154,40,Engineering,3,11,14046,4,1,No,11.1,No,2,12,Yes,High,6+ Years
EMP0155,30,Operations,1,3,5459,2,3,No,9.1,No,1,16,No,Medium,3-5 Years
EMP0156,56,Marketing,1,0,5198,4,3,Yes,2.9,No,2,21,No,Medium,0-2 Years
EMP0157,42,Engineering,3,6,12364,2,1,No,16.6,No,3,15,No,High,6+ Years
EMP0158,26,Engineering,1,0,6136,4,4,No,19.8,No,2,15,No,Medium,0-2 Years
EMP0159,44,Operations,1,1,4793,5,3,Yes,2.8,No,3,14,Yes,Low,0-2 Years
EMP0160,28,HR,1,2,4378,3,3,No,11.1,No,2,13,No,Low,0-2 Years
EMP0161,45,Engineering,2,6,8779,4,3,No,2.3,No,3,18,No,Medium,6+ Years
EMP0162,49,Sales,5,16,14049,3,2,No,21.1,No,4,16,No,High,6+ Years
EMP0163,29,Engineering,1,2,6038,4,4,No,16.4,No,3,15,No,Medium,0-2 Years
EMP0164,47,Operations,2,2,6496,4,1,No,7.6,No,3,18,No,Medium,0-2 Years
EMP0165,42,Operations,2,5,6103,3,3,No,6,No,3,10,No,Medium,3-5 Years
EMP0166,46,Sales,4,21,13123,2,3,No,7.1,No,2,11,No,High,6+ Years
EMP0167,56,Engineering,3,28,14295,5,2,No,2.9,No,3,9,No,High,6+ Years
EMP0168,35,Sales,1,1,5035,4,3,Yes,12.5,No,2,20,No,Medium,0-2 Years
EMP0169,30,IT,1,1,5340,4,2,No,15.5,No,2,12,No,Medium,0-2 Years
EMP0170,29,Marketing,3,5,10051,3,4,No,8.2,No,4,12,No,High,3-5 Years
EMP0171,29,Operations,1,1,4408,3,3,Yes,16.6,No,2,18,No,Low,0-2 Years
EMP0172,37,Finance,2,4,8821,4,4,No,18.6,No,4,11,No,Medium,3-5 Years
EMP0173,41,Operations,3,14,9584,2,4,No,10.1,No,3,14,No,Medium,6+ Years
EMP0174,40,IT,2,3,8976,5,4,Yes,2.4,No,3,12,Yes,Medium,3-5 Years
EMP0175,46,Sales,5,20,14774,2,3,Yes,5.4,No,2,13,No,High,6+ Years
EMP0176,38,IT,1,0,6014,4,4,Yes,6.4,No,2,18,No,Medium,0-2 Years
EMP0177,52,Operations,3,14,8764,3,1,No,17.7,Yes,3,21,No,Medium,6+ Years
EMP0178,35,Engineering,1,0,5678,4,2,Yes,7.1,No,3,15,No,Medium,0-2 Years
EMP0179,60,Operations,4,13,11108,3,2,Yes,12.7,No,3,24,No,High,6+ Years
EMP0180,44,Finance,3,18,13285,3,2,No,6.7,No,2,14,No,High,6+ Years
EMP0181,29,Operations,1,1,4522,3,1,No,11.4,No,3,17,Yes,Low,0-2 Years
EMP0182,27,Sales,2,3,5890,2,3,Yes,7.8,No,3,16,Yes,Medium,3-5 Years
EMP0183,42,Marketing,1,1,5368,5,3,No,14.4,No,4,19,No,Medium,0-2 Years
EMP0184,35,Sales,2,5,6611,5,3,No,1,No,3,15,No,Medium,3-5 Years
EMP0185,45,Operations,2,12,7284,3,3,Yes,5.3,No,2,11,No,Medium,6+ Years
EMP0186,42,IT,5,16,17450,3,4,Yes,4.9,No,3,13,No,High,6+ Years
EMP0187,37,Finance,2,5,8588,4,4,No,12.2,No,3,20,No,Medium,3-5 Years
EMP0188,29,HR,2,4,5811,4,3,No,14,Yes,3,11,No,Medium,3-5 Years
EMP0189,22,Finance,1,0,4626,5,1,No,13.5,No,3,17,No,Low,0-2 Years
EMP0190,33,Engineering,3,5,11461,3,3,No,2.9,No,3,15,No,High,3-5 Years
EMP0191,46,Marketing,2,4,7488,4,3,No,7.6,No,3,13,No,Medium,3-5 Years
EMP0192,40,Finance,3,6,11516,3,1,No,5.7,No,3,20,No,High,6+ Years
EMP0193,25,Sales,1,0,4521,4,2,No,25.9,Yes,3,18,No,Low,0-2 Years
EMP0194,39,Sales,4,12,12289,3,2,No,3,No,1,14,No,High,6+ Years
EMP0195,41,Finance,4,18,15858,4,3,No,3.8,Yes,2,13,No,High,6+ Years
EMP0196,29,Engineering,2,5,8596,3,2,No,21.4,No,3,13,No,Medium,3-5 Years
EMP0197,39,Operations,1,0,4935,3,3,No,11.6,No,3,10,No,Low,0-2 Years
EMP0198,38,Engineering,3,12,13066,3,3,No,4.3,No,4,18,No,High,6+ Years
EMP0199,26,Sales,2,2,5490,5,4,Yes,21.1,No,4,18,No,Medium,0-2 Years
EMP0200,41,Marketing,2,6,7806,4,3,No,1.2,No,2,17,No,Medium,6+ Years
EMP0201,43,Finance,4,19,15302,4,3,No,13.6,No,3,11,No,High,6+ Years
EMP0202,48,Marketing,2,2,7468,4,1,Yes,9.2,No,3,12,No,Medium,0-2 Years
EMP0203,48,Finance,4,25,16678,4,3,No,15.3,No,2,18,No,High,6+ Years
EMP0204,24,HR,1,0,4295,3,3,Yes,10.3,No,4,18,No,Low,0-2 Years
EMP0205,28,Finance,1,0,4785,3,2,No,18.7,No,3,20,No,Low,0-2 Years
EMP0206,43,Sales,2,7,7746,3,2,No,16.2,No,3,18,No,Medium,6+ Years
EMP0207,43,Engineering,4,16,15028,2,4,No,9.4,No,2,13,No,High,6+ Years
EMP0208,43,Sales,4,12,11423,3,2,Yes,3.4,No,2,15,No,High,6+ Years
EMP0209,60,Sales,3,13,10599,4,4,Yes,4.5,No,1,12,No,High,6+ Years
EMP0210,43,Sales,1,4,5592,1,2,No,3.3,No,2,13,No,Medium,3-5 Years
EMP0211,49,Sales,4,25,13669,2,2,No,10.9,No,3,10,Yes,High,6+ Years
EMP0212,47,IT,4,23,15847,5,3,Yes,9.4,No,2,18,No,High,6+ Years
EMP0213,44,Engineering,3,21,13849,5,2,No,4.1,No,2,15,No,High,6+ Years
EMP0214,34,Sales,3,6,8943,3,3,No,23,No,2,9,No,Medium,6+ Years
EMP0215,45,Operations,4,23,12406,4,3,Yes,5.7,No,3,13,No,High,6+ Years
EMP0216,30,Engineering,3,5,12117,2,4,No,21.7,No,3,17,No,High,3-5 Years
EMP0217,35,Engineering,4,10,14492,3,4,No,9.5,No,3,17,No,High,6+ Years
EMP0218,33,Engineering,3,5,11419,4,3,No,5.2,No,2,19,No,High,3-5 Years
EMP0219,38,Engineering,3,5,11432,5,2,Yes,13,No,3,9,Yes,High,3-5 Years
EMP0220,60,Engineering,4,22,16848,3,2,No,2.6,No,3,16,No,High,6+ Years
EMP0221,22,Engineering,1,0,6127,3,2,No,7,No,3,15,No,Medium,0-2 Years
EMP0222,44,Operations,2,3,6439,4,4,No,22.9,No,2,9,No,Medium,3-5 Years
EMP0223,22,Sales,1,0,4028,4,3,No,29.2,No,3,14,No,Low,0-2 Years
EMP0224,33,Sales,1,0,4617,5,2,No,4.4,No,3,10,No,Low,0-2 Years
EMP0225,48,Marketing,1,4,5973,4,3,Yes,17.2,No,3,13,No,Medium,3-5 Years
EMP0226,38,Engineering,1,2,6127,3,4,No,6.9,No,3,10,No,Medium,0-2 Years
EMP0227,27,Engineering,2,3,8922,2,3,Yes,8.7,No,2,14,Yes,Medium,3-5 Years
EMP0228,30,Operations,3,6,8920,3,4,No,2.1,No,3,9,No,Medium,6+ Years
EMP0229,44,IT,2,4,8319,3,4,Yes,12.1,No,3,17,No,Medium,3-5 Years
EMP0230,30,Operations,2,3,5936,2,3,No,15.1,No,4,15,No,Medium,3-5 Years
EMP0231,40,Sales,4,16,12239,3,4,No,2.5,Yes,3,13,No,High,6+ Years
EMP0232,38,IT,2,5,9260,3,3,No,15.8,No,3,15,No,Medium,3-5 Years
EMP0233,31,Engineering,2,9,8258,5,3,No,27.3,No,3,10,No,Medium,6+ Years
EMP0234,59,Sales,3,31,12652,3,3,No,27.3,No,2,21,No,High,6+ Years
EMP0235,44,HR,3,22,10147,5,2,Yes,14.1,No,2,15,No,High,6+ Years
EMP0236,22,Finance,1,0,5678,3,3,No,8.1,No,4,21,No,Medium,0-2 Years
EMP0237,39,Sales,4,15,12100,4,4,No,14,No,1,18,No,High,6+ Years
EMP0238,31,Marketing,1,0,5571,3,4,No,3.8,No,4,15,No,Medium,0-2 Years
EMP0239,46,Operations,4,13,11514,1,4,Yes,7.4,No,2,14,No,High,6+ Years
EMP0240,30,Engineering,1,3,6336,3,4,No,5.8,No,4,9,No,Medium,3-5 Years
EMP0241,36,Finance,4,11,13240,3,3,No,3.5,Yes,3,12,No,High,6+ Years
EMP0242,43,Engineering,3,8,12174,3,2,Yes,6.8,No,2,17,No,High,6+ Years
EMP0243,46,Engineering,3,14,12750,4,3,Yes,19.9,No,4,13,No,High,6+ Years
EMP0244,25,Engineering,2,3,8747,3,1,Yes,6.1,No,3,20,Yes,Medium,3-5 Years
EMP0245,34,Marketing,2,9,7768,5,1,No,7.9,No,3,14,No,Medium,6+ Years
EMP0246,33,Engineering,3,5,11626,5,2,Yes,13.7,No,2,21,No,High,3-5 Years
EMP0247,31,Operations,1,1,4096,4,1,Yes,7.5,No,3,13,No,Low,0-2 Years
EMP0248,55,IT,2,5,8666,5,3,No,6.4,No,2,16,No,Medium,3-5 Years
EMP0249,42,IT,2,3,6761,2,4,No,7.8,No,4,14,No,Medium,3-5 Years
EMP0250,25,Sales,2,2,6616,2,3,No,4,No,3,10,No,Medium,0-2 Years
EMP0251,47,Sales,5,25,14974,3,2,No,19.3,No,3,21,No,High,6+ Years
EMP0252,59,Engineering,4,22,16757,3,4,No,2.7,No,2,14,No,High,6+ Years
EMP0253,48,Finance,2,11,9385,4,4,No,3,No,3,14,No,Medium,6+ Years
EMP0254,22,IT,1,0,5065,4,1,Yes,8.6,No,2,16,No,Medium,0-2 Years
EMP0255,33,Operations,2,2,6128,3,3,No,19.9,No,4,14,No,Medium,0-2 Years
EMP0256,50,Marketing,4,21,14257,3,3,No,15.3,No,3,20,No,High,6+ Years
EMP0257,30,Sales,2,3,7793,2,3,No,5,No,2,22,No,Medium,3-5 Years
EMP0258,42,Operations,2,2,6479,3,4,No,11,No,3,20,No,Medium,0-2 Years
EMP0259,45,Sales,2,2,5954,3,3,No,5.8,No,3,15,No,Medium,0-2 Years
EMP0260,28,Sales,3,5,9821,3,2,No,11.2,No,3,11,No,Medium,3-5 Years
EMP0261,37,Operations,1,1,4212,3,3,Yes,7.8,No,3,15,No,Low,0-2 Years
EMP0262,22,Marketing,1,0,4860,4,3,No,2,No,3,21,Yes,Low,0-2 Years
EMP0263,27,Sales,1,2,5770,1,4,Yes,6.7,No,3,18,No,Medium,0-2 Years
EMP0264,35,Engineering,1,2,5985,3,3,No,5.5,No,3,17,No,Medium,0-2 Years
EMP0265,25,Sales,1,0,4421,5,4,No,2.9,No,3,14,No,Low,0-2 Years
EMP0266,54,Marketing,3,9,9534,4,2,No,13,No,2,12,No,Medium,6+ Years
EMP0267,23,Engineering,1,0,5980,4,3,Yes,8.8,No,2,15,No,Medium,0-2 Years
EMP0268,33,Operations,2,2,6104,5,3,No,1.5,No,4,16,No,Medium,0-2 Years
EMP0269,39,Engineering,2,8,9401,3,4,No,5.9,Yes,2,15,No,Medium,6+ Years
EMP0270,52,HR,2,3,6129,2,3,No,10.1,No,3,14,Yes,Medium,3-5 Years
EMP0271,23,Sales,1,0,4090,3,2,Yes,22.3,No,2,8,No,Low,0-2 Years
EMP0272,49,Engineering,4,18,16632,4,2,No,1.7,No,2,18,No,High,6+ Years
EMP0273,38,Finance,4,15,14359,3,1,No,12.9,No,2,17,No,High,6+ Years
EMP0274,28,Finance,1,0,5115,3,3,No,8.1,No,3,14,No,Medium,0-2 Years
EMP0275,42,Sales,5,20,14003,4,3,No,14.3,Yes,4,19,No,High,6+ Years
EMP0276,39,HR,1,0,4023,1,4,No,2.1,No,3,12,Yes,Low,0-2 Years
EMP0277,31,Operations,2,6,7239,3,4,No,7.3,No,2,17,No,Medium,6+ Years
EMP0278,38,Engineering,4,11,15028,3,4,No,10.9,Yes,3,20,No,High,6+ Years
EMP0279,34,Sales,1,0,5492,3,1,No,2.8,No,1,12,No,Medium,0-2 Years
EMP0280,39,Engineering,3,14,13903,3,4,No,26.3,No,3,13,No,High,6+ Years
EMP0281,44,Marketing,3,6,9260,3,2,No,8.2,No,3,17,No,Medium,6+ Years
EMP0282,53,Sales,4,27,13204,5,3,No,3.4,No,2,18,No,High,6+ Years
EMP0283,25,Engineering,1,0,5615,3,2,Yes,18.8,No,3,17,No,Medium,0-2 Years
EMP0284,59,Marketing,2,2,7652,3,2,Yes,5,No,3,12,No,Medium,0-2 Years
EMP0285,22,IT,1,0,5995,3,2,Yes,5.1,No,2,14,No,Medium,0-2 Years
EMP0286,36,Engineering,3,10,12805,1,2,Yes,4.4,No,2,19,No,High,6+ Years
EMP0287,43,Sales,3,5,8332,3,1,No,5.4,No,3,16,No,Medium,3-5 Years
EMP0288,40,Marketing,3,5,8863,1,1,No,3.6,No,1,13,No,Medium,3-5 Years
